"Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Record Type","Latitude","Longitude","Location Employee Size Actual","Location Sales Volume Actual"
"Automatic","Thomas","Nolan","50 Hampshire St","Cambridge","MA","02139","Verified","042.366976","-071.092881","00006","$336,000"
"B GOOD","","","1 Eliot St","Cambridge","MA","02138","Verified","042.372599","-071.121824","00006","$336,000"
"Bab Al Amoud Cafe","","","148 Western Ave","Cambridge","MA","02139","Verified","042.365600","-071.104100","00006","$336,000"
"Bagelsaurus","Mary","Ting Hyatt","1796 Massachusetts Ave","Cambridge","MA","02140","Verified","042.386058","-071.119516","00006","$336,000"
"Bambara Restaurant","David","Bazirgan","25 Edwin H Land Blvd","Cambridge","MA","02141","Verified","042.367965","-071.075135","00060","$3,355,000"
"Baraka Cafe","Alia","Rejeb","80 Pearl St","Cambridge","MA","02139","Verified","042.362901","-071.104361","00002","$112,000"
"Barismo","Hong","Xue","364 Broadway","Cambridge","MA","02139","Verified","042.370442","-071.104446","00006","$336,000"
"Base Crave","Bhola","Pandey","344 Huron Ave","Cambridge","MA","02138","Verified","042.381137","-071.137716","00005","$280,000"
"Basha's Cafe","Tesfaye","Andarge","26 New St","Cambridge","MA","02138","Verified","042.387836","-071.140222","00006","$336,000"
"Basta Pasta","Altin","Hoxha","319 Western Ave","Cambridge","MA","02139","Verified","042.364662","-071.113369","00003","$168,000"
"Beantown Taqueria","Hugo","Mendez","245 Massachusetts Ave","Cambridge","MA","02139","Verified","042.361736","-071.097122","00005","$280,000"
"Beantowne Coffee House","Ed","Goiette","1 Kendall Sq # B2105","Cambridge","MA","02139","Verified","042.366665","-071.090897","00007","$392,000"
"Beat Brasserie","Randy","Ricker","13 Brattle St","Cambridge","MA","02138","Verified","042.373532","-071.120232","00003","$168,000"
"Beat Hotel","Tommy","Lapsley","13 Brattle St","Cambridge","MA","02138","Verified","042.373532","-071.120232","00099","$11,292,000"
"Beauty's Pizza","","","187 Hampshire St","Cambridge","MA","02139","Verified","042.372819","-071.099253","00006","$336,000"
"Ben & Jerry's","","","36 Jfk St # 13","Cambridge","MA","02138","Verified","042.372616","-071.119899","00011","$615,000"
"Benedetto","Megan","Mckinnon","1 Bennett St","Cambridge","MA","02138","Verified","042.371792","-071.122780","00006","$336,000"
"Berryline","Matthew","Wallace","1 Arrow St","Cambridge","MA","02138","Verified","042.371277","-071.114611","00010","$560,000"
"Bertucci's","","","5 Cambridgepark Dr # 1","Cambridge","MA","02140","Verified","042.395691","-071.141953","00065","$3,635,000"
"Bertucci's","Cheryl","Dasilva","799 Main St","Cambridge","MA","02139","Verified","042.363468","-071.097239","00050","$2,796,000"
"Bgood","","","301 3rd St","Cambridge","MA","02142","Verified","042.365032","-071.083000","00006","$336,000"
"Bisq","","","1071 Cambridge St","Cambridge","MA","02139","Verified","042.365600","-071.104100","00006","$336,000"
"Black Sheep Restaurant","Charlotte","Forsythe","350 Main St","Cambridge","MA","02142","Verified","042.362267","-071.087225","00010","$560,000"
"Blaze Pizza","Kevin","Brown","1 Canal Park","Cambridge","MA","02141","Verified","042.369566","-071.076777","00003","$168,000"
"Bluestone Lane","Nicholas","Stone","27 Brattle St","Cambridge","MA","02138","Verified","042.373629","-071.120694","00005","$280,000"
"Boca Grande Taqueria","Mariko","Kaneo","149 1st St","Cambridge","MA","02142","Verified","042.366392","-071.078213","00005","$280,000"
"Bom Cafe","Antonio","Gomes","1093 Cambridge St","Cambridge","MA","02139","Verified","042.373194","-071.095621","00010","$560,000"
"Bon Appetit @ Lesley Univ","Elizabeth","Baldwin","89 Brattle St Sherrill Library","Cambridge","MA","02138","Verified","042.377600","-071.124700","00006","$336,000"
"Bon Appetit Caterers","John","Curtin","96 Concord Ave","Cambridge","MA","02138","Verified","042.381210","-071.129296","00004","$224,000"
"Bon Me","Patrick","Lynch","1 Kendall Sq # B3105","Cambridge","MA","02139","Verified","042.366665","-071.090897","00006","$336,000"
"Bon Me","Patrick","Lynch","49 Sacramento St # 1a","Cambridge","MA","02138","Verified","042.382713","-071.114882","00006","$336,000"
"Bon Me Lic","Canek","Martinez","201 Alewife Brook Pkwy","Cambridge","MA","02138","Verified","042.390076","-071.142688","00006","$336,000"
